Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
2488,Kaisheim-Neuhof                         ,   48.770102,   10.787615,516,Bayern                                  
2497,Kall-Sistig                             ,    50.50141,    6.526408,505,Nordrhein-Westfalen                     
2503,Kaltennordheim                          ,   50.626586,   10.145485,487,Thüringen                               
2521,Karlshuld                               ,   48.676515,   11.296144,374,Bayern                                  
2522,Karlsruhe                               ,   49.038161,     8.36406,        111.6,Baden-Württemberg                       
2532,Kassel                                  ,   51.296303,    9.442424,231,Hessen                                  
2559,Kempten                                 ,   47.723263,   10.334786,        705.2,Bayern                                  
2565,Kiel-Kronshagen                         ,   54.337761,   10.092943,17,Schleswig-Holstein                      
2578,Kirchdorf/Poel                          ,   53.999513,   11.434142,14,Mecklenburg-Vorpommern                  
2597,Kissingen,   50.223991,   10.079245,        281.8,Bayern                                  
2601,Kleiner Feldberg/Taunus                 ,   50.221797,    8.446883,        822.1,Hessen                                  
2618,Kleiner Inselsberg                      ,   50.845847,   10.480262,732,Thüringen                               
2629,Kleve                                   ,   51.761242,    6.095381,46,Nordrhein-Westfalen                     
2638,Klippeneck                              ,   48.105397,    8.754788,        973.5,Baden-Württemberg                       
2657,Koblenz-Horchheim                       ,   50.336911,    7.599165,85,Rheinland-Pfalz                         
2667,Köln-Bonn                               ,   50.864559,    7.157488,92,Nordrhein-Westfalen                     
2677,Königsfeld/Schwarzwald                  ,   48.141264,    8.428456,730,Baden-Württemberg                       
2680,Königshofen,   50.284014,   10.445599,        288.5,Bayern                                  
2693,Königstein/Taunus                       ,    50.18553,    8.469837,380,Hessen                                  
2700,Kösching                                ,   48.830189,   11.487243,416,Bayern                                  
2750,Kronach                                 ,   50.252352,   11.320925,310,Bayern                                  
2761,Krumbach-Edenhausen                     ,   48.250959,   10.416274,520,Bayern                                  
2783,Kumhausen                               ,    48.51264,   12.151325,436,Bayern                                  
2812,Lahr                                    ,   48.364742,    7.827986,        155.7,Baden-Württemberg                       
2814,Merklingen                              ,   48.512173,    9.764396,687,Baden-Württemberg                       
2861,Langeoog                                ,    53.74452,    7.477468,5,Niedersachsen                           
2878,Lauchstädt,    51.39092,   11.878575,        117.4,Sachsen-Anhalt                          
2879,Lauda-Königshofen-Gerlachsheim          ,   49.578104,     9.71416,199,Baden-Württemberg                       
2925,Leinefelde                              ,   51.393197,   10.312349,        355.9,Thüringen                               
2928,Leipzig-Holzhausen                      ,    51.31509,   12.446226,138,Sachsen                                 
2947,Lennestadt-Theten                       ,   51.133253,    8.034831,286,Nordrhein-Westfalen                     
2949,Lenningen-Schopfloch                    ,   48.539622,    9.527497,758,Baden-Württemberg                       
2950,Lensahn                                 ,   54.218979,   10.884417,14,Schleswig-Holstein                      
2953,Lenzkirch-Ruhbühl                       ,   47.859705,    8.230755,854,Baden-Württemberg                       
2968,Köln-Stammheim                          ,   50.989428,    6.977688,43,Nordrhein-Westfalen                     
3001,Liliental                               ,    48.06737,    7.676963,284,Baden-Württemberg                       
3004,Limburg/Lahn-Offheim                    ,   50.411603,    8.060496,185,Hessen                                  
3015,Lindenberg                              ,   52.208489,   14.118032,98,Brandenburg                             
3023,Lingen                                  ,   52.518093,    7.308057,22,Niedersachsen                           
3028,Lippspringe,   51.785416,    8.838795,157,Nordrhein-Westfalen                     
3032,List auf Sylt                           ,   55.010989,    8.412531,         24.7,Schleswig-Holstein                      
3044,Löningen                                ,   52.719795,     7.74721,22,Niedersachsen                           
3056,Lohr/Main-Steinbach                     ,   50.010254,    9.609971,161,Bayern                                  
3062,Lorch/Rhein                             ,   50.035246,    7.819733,100,Hessen                                  
3085,Lübeck                                  ,   53.877317,   10.691454,15,Schleswig-Holstein                      
3093,Lüchow                                  ,   52.972379,   11.137371,         16.2,Niedersachsen                           
3096,Lüdenscheid (Zeppelin-Gymnasium)        ,   51.213111,    7.635855,444,Nordrhein-Westfalen                     
3101,Lüdinghausen                            ,   51.769446,    7.412787,58,Nordrhein-Westfalen                     
3103,Lüneburg                                ,   53.265685,   10.424006,11,Niedersachsen                           
