Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
3879,Passau-Oberhaus                         ,   48.577943,   13.469437,409,Bayern                                  
3883,Pausa-Unterreichenau                    ,   50.599901,   11.996611,442,Sachsen                                 
3922,Pfofeld-Langlau                         ,   49.116163,     10.8598,435,Bayern                                  
3924,Pforzheim-Eutingen                      ,   48.905877,    8.741206,246,Baden-Württemberg                       
3927,Pfullendorf                             ,   47.934471,     9.28693,        629.5,Baden-Württemberg                       
3955,Plön (See)                              ,   54.158983,   10.401996,24,Schleswig-Holstein                      
3987,Potsdam                                 ,   52.381247,    13.06223,81,Brandenburg                             
4032,Quedlinburg                             ,   51.795344,   11.131995,142,Sachsen-Anhalt                          
4063,Rahden-Kleinendorf                      ,   52.446122,    8.590574,         40.5,Nordrhein-Westfalen                     
4104,Regensburg                              ,   49.042482,   12.101943,        365.4,Bayern                                  
4169,Rheinau-Memprechtshofen                 ,   48.670276,    7.993861,        130.5,Baden-Württemberg                       
4175,Rheinfelden                             ,   47.558973,    7.772149,        282.5,Baden-Württemberg                       
4222,Rodewisch                               ,   50.526312,   12.409051,464,Sachsen                                 
4261,Rosenheim                               ,   47.875339,   12.127976,442,Bayern                                  
4271,Rostock-Warnemünde                      ,   54.180279,   12.080806,4,Mecklenburg-Vorpommern                  
4275,Rotenburg (Wümme)                       ,   53.128845,    9.339751,32,Niedersachsen                           
4278,Roth bei Nürnberg                       ,   49.251149,   11.093364,340,Bayern                                  
4287,Rothenburg ob der Tauber                ,   49.384842,   10.173229,415,Bayern                                  
4293,Rottach-Egern                           ,   47.681932,   11.771391,747,Bayern                                  
4318,Ruhpolding                              ,   47.731033,   12.660966,692,Bayern                                  
4323,Ruppertsecken                           ,   49.646838,    7.883741,461,Rheinland-Pfalz                         
4336,Saarbrücken-Ensheim                     ,   49.212803,    7.107712,320,Saarland                                
4339,Saarbrücken-Sankt Johann                ,   49.223137,    7.016753,193,Saarland                                
4364,Salzgitter-Ringelheim                   ,   52.035526,   10.305442,138,Niedersachsen                           
4377,Sandberg                                ,   50.351779,   10.003374,        517.5,Bayern                                  
4386,Sankt Blasien                           ,   47.761006,    8.124701,795,Baden-Württemberg                       
4390,Sankt Märgen                            ,   48.009078,    8.096604,896,Baden-Württemberg                       
4393,Sankt Peter-Ording                      ,   54.327907,    8.603056,          4.9,Schleswig-Holstein                      
4419,Schallstadt-Mengen                      ,    47.95565,    7.713307,212,Baden-Württemberg                       
4445,Wernigerode-Schierke                    ,   51.765838,    10.65328,609,Sachsen-Anhalt                          
4466,Schleswig                               ,   54.527539,    9.548666,         42.7,Schleswig-Holstein                      
4477,Schluchsee                              ,     47.8208,    8.185992,993,Baden-Württemberg                       
4490,Schmelz-Hüttersdorf                     ,   49.414918,    6.836007,223,Saarland                                
4508,Schneifelforsthaus                      ,   50.296848,    6.419387,649,Rheinland-Pfalz                         
4556,Schonach                                ,   48.140163,    8.199089,904,Baden-Württemberg                       
4557,Schopfheim-Eichen                       ,   47.646351,    7.843961,399,Baden-Württemberg                       
4560,Schotten                                ,   50.492508,    9.122558,265,Hessen                                  
4571,Schulenberg                             ,   51.836949,   10.431226,504,Niedersachsen                           
4581,Schwäbisch Gmünd-Strassdorf             ,   48.776796,    9.802456,415,Baden-Württemberg                       
4592,Schwandorf                              ,   49.327835,   12.087053,356,Bayern                                  
4597,Schwangau-Horn                          ,   47.576937,    10.71814,792,Bayern                                  
4605,Schwarzburg                             ,    50.64406,   11.193618,277,Thüringen                               
4621,Schweinfurt-Gartenstadt                 ,   50.057452,   10.215981,240,Bayern                                  
4625,Schwerin                                ,   53.642425,   11.387095,59,Mecklenburg-Vorpommern                  
4651,Seesen                                  ,   51.903973,   10.188523,186,Niedersachsen                           
4692,Siegen (Kläranlage)                     ,   50.853381,    7.996614,229,Nordrhein-Westfalen                     
4703,Sigmaringen-Laiz                        ,   48.071864,    9.194326,        580.5,Baden-Württemberg                       
4741,Solingen-Hohenscheid                    ,    51.14004,    7.092982,152,Nordrhein-Westfalen                     
4745,Soltau                                  ,   52.960408,    9.793049,         75.4,Niedersachsen                           
4748,Sondershausen                           ,   51.352007,   10.905861,221,Thüringen                               
4752,Sonneberg-Neufang                       ,   50.374621,   11.182835,626,Thüringen                               
4818,Stammbach-Querenbach                    ,   50.153146,   11.740168,597,Bayern                                  
4887,Stötten                                 ,   48.665587,    9.864791,        733.8,Baden-Württemberg                       
4928,Stuttgart (Schnarrenberg)               ,   48.828085,    9.200028,        314.3,Baden-Württemberg                       
4931,Stuttgart-Echterdingen                  ,   48.688265,    9.223548,371,Baden-Württemberg                       
5009,Teterow                                 ,   53.761054,   12.557389,33,Mecklenburg-Vorpommern                  
5014,Worpswede-Hüttenbusch                   ,   53.275827,    8.985687,7,Niedersachsen                           
5017,Teuschnitz                              ,   50.400246,    11.38883,633,Bayern                                  
5029,Tholey                                  ,   49.473727,    7.038521,        385.9,Saarland                                
5039,Tiefenort                               ,   50.842962,    10.16128,236,Thüringen                               
5046,Tirschenreuth-Lodermühl                 ,   49.857617,   12.354218,        500.5,Bayern                                  
5049,Titisee-Neustadt-Titisee                ,    47.89909,    8.145997,846,Baden-Württemberg                       
5075,Traunstein-Axdorf                       ,   47.851619,    12.61817,635,Bayern                                  
5078,Travemünde                              ,   53.961947,   10.889158,          2.3,Schleswig-Holstein                      
5094,Triberg                                 ,   48.131564,    8.228284,683,Baden-Württemberg                       
