Stations_id,Stationsname,geogr. Breite,geogr. Laenge,Stationshoehe,Bundesland
991,Dippoldiswalde-Reinberg                 ,   50.911626,   13.708675,        358.5,Sachsen                                 
998,Dobel                                   ,   48.796789,    8.492143,696,Baden-Württemberg                       
1001,Doberlug-Kirchhain                      ,   51.645071,   13.574714,         96.8,Brandenburg                             
1003,Döbeln                                  ,     51.1333,     13.1167,201,Sachsen                                 
1006,Dömitz                                  ,   53.139905,   11.254378,15,Mecklenburg-Vorpommern                  
1018,Donaueschingen                          ,   47.942187,    8.504647,677,Baden-Württemberg                       
1032,Dortmund                                ,   51.511976,    7.534469,120,Nordrhein-Westfalen                     
1047,Dresden (Mitte)                         ,   51.055663,   13.727444,112,Sachsen                                 
1048,Dresden-Klotzsche                       ,   51.127797,   13.754251,        227.6,Sachsen                                 
1050,Dresden-Hosterwitz                      ,   51.022068,   13.847006,112,Sachsen                                 
1051,Dresden-Strehlen                        ,   51.024866,   13.775082,119,Sachsen                                 
1052,Drewitz bei Burg                        ,   52.217417,   12.164088,80,Sachsen-Anhalt                          
1066,Duderstadt                              ,   51.503986,   10.261256,180,Niedersachsen                           
1078,Düsseldorf                              ,   51.295952,    6.768648,         36.6,Nordrhein-Westfalen                     
1079,Düsseldorf-Südfriedhof                  ,   51.199811,    6.757388,37,Nordrhein-Westfalen                     
1084,Duisburg-Friemersheim                   ,   51.393989,    6.702596,31,Nordrhein-Westfalen                     
1087,Duisburg-Laar                           ,   51.463381,    6.732091,21,Nordrhein-Westfalen                     
1091,Ebeleben                                ,   51.280615,   10.736188,258,Thüringen                               
1093,Eberbach                                ,   49.459307,    8.959463,131,Baden-Württemberg                       
1102,Ebersbach/Fils                          ,   48.720101,    9.532795,300,Baden-Württemberg                       
1103,Ebersberg-Halbing                       ,   48.100334,   11.987202,        591.5,Bayern                                  
1106,Eberswalde                              ,   52.823862,   13.797888,45,Brandenburg                             
1107,Ebrach                                  ,   49.851954,   10.499124,        345.5,Bayern                                  
1130,Eggebek                                 ,    54.62823,    9.364924,17,Schleswig-Holstein                      
1146,Ehningen                                ,   48.659306,    8.912084,487,Baden-Württemberg                       
1154,Eiberg                                  ,   48.341565,   12.882024,470,Bayern                                  
1161,Eichstätt-Landershofen                  ,   48.877749,    11.23488,384,Bayern                                  
1169,Eimeldingen                             ,    47.62882,    7.595876,264,Baden-Württemberg                       
1172,Einbeck                                 ,   51.818948,    9.887109,123,Niedersachsen                           
1182,Eisleben-Helfta                         ,   51.502894,   11.570458,146,Sachsen-Anhalt                          
1188,Elgersburg                              ,   50.704081,   10.857578,518,Thüringen                               
1197,Ellwangen-Rindelbach                    ,   48.989498,   10.131234,460,Baden-Württemberg                       
1200,Elpersbüttel                            ,   54.069146,    9.010547,3,Schleswig-Holstein                      
1201,Elsdorf/Erftkreis                       ,   50.928142,    6.564617,85,Nordrhein-Westfalen                     
1204,Elsfleth                                ,   53.234581,    8.461216,1,Niedersachsen                           
1214,Elzach-Fisnacht                         ,   48.201207,     8.10884,        430.5,Baden-Württemberg                       
1219,Emden-Nesserland                        ,   53.344865,    7.190915,5,Niedersachsen                           
1221,Emden-Wolthusen                         ,   53.370663,     7.22361,0,Niedersachsen                           
1224,Emmendingen-Mundingen                   ,   48.137773,     7.83505,        200.5,Baden-Württemberg                       
1238,Engelskirchen                           ,   50.988436,    7.424988,144,Nordrhein-Westfalen                     
1239,Engen/Hegau                             ,   47.851598,     8.76731,540,Baden-Württemberg                       
1243,Eningen                                 ,   48.473429,     9.30283,705,Baden-Württemberg                       
1246,Ennigerloh-Ostenfelde                   ,   51.841775,    8.060717,104,Nordrhein-Westfalen                     
1254,Eppingen                                ,   49.130652,     8.91648,210,Baden-Württemberg                       
1255,Eppingen-Elsenz                         ,   49.166076,    8.848334,226,Baden-Württemberg                       
1262,München-Flughafen                       ,   48.347741,   11.813385,        445.5,Bayern                                  
