Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
       3591;Nideggen-Schmidt                        ;   50.674261;    6.423998;          350;Nordrhein-Westfalen                     ;
       3612;Nienburg                                ;   52.671083;     9.22291;           25;Niedersachsen                           ;
       3621;Reimlingen                              ;   48.825254;   10.506667;          435;Bayern                                  ;
       3631;Norderney                               ;   53.712304;    7.151923;         11.5;Niedersachsen                           ;
       3660;Nürburg-Barweiler                       ;   50.360166;    6.869659;          485;Rheinland-Pfalz                         ;
       3667;Nürnberg-Netzstall                      ;   49.425771;   11.253851;          369;Bayern                                  ;
       3668;Nürnberg                                ;   49.503031;   11.054923;          314;Bayern                                  ;
       3679;Kiefersfelden-Gach                      ;   47.618701;   12.166532;          518;Bayern                                  ;
       3730;Oberstdorf                              ;   47.398429;   10.275881;        805.8;Bayern                                  ;
       3739;Oberviechtach                           ;   49.452096;   12.436546;          596;Bayern                                  ;
       3761;Öhringen                                ;   49.207016;    9.517582;        275.9;Baden-Württemberg                       ;
       3811;Oschatz                                 ;    51.29598;    13.09283;          150;Sachsen                                 ;
       3836;Ostheim v.d. Rhön                       ;   50.453837;   10.221065;        313.5;Bayern                                  ;
       3857;Oy-Mittelberg-Petersthal                ;   47.636179;    10.38923;        885.5;Bayern                                  ;
       3875;Parsberg/Oberpfalz-Eglwang              ;    49.15102;   11.689638;          549;Bayern                                  ;
       3927;Pfullendorf                             ;   47.934471;     9.28693;        629.5;Baden-Württemberg                       ;
       3946;Plauen                                  ;   50.481832;   12.130043;        387.1;Sachsen                                 ;
       3975;Pommelsbrunn-Mittelburg                 ;   49.477723;   11.535701;        521.5;Bayern                                  ;
       3987;Potsdam                                 ;   52.381247;    13.06223;           81;Brandenburg                             ;
       4036;Querfurt-Mühle Lodersleben              ;   51.389498;   11.541221;          204;Sachsen-Anhalt                          ;
       4063;Rahden-Kleinendorf                      ;   52.446122;    8.590574;         40.5;Nordrhein-Westfalen                     ;
       4094;Weingarten, Kr. Ravensburg              ;   47.806248;    9.620579;        440.5;Baden-Württemberg                       ;
       4104;Regensburg                              ;   49.042482;   12.101943;        365.4;Bayern                                  ;
       4127;Reichshof-Eckenhagen                    ;   50.990623;    7.695754;          347;Nordrhein-Westfalen                     ;
       4169;Rheinau-Memprechtshofen                 ;   48.670276;    7.993861;        130.5;Baden-Württemberg                       ;
       4175;Rheinfelden                             ;   47.558973;    7.772149;        282.5;Baden-Württemberg                       ;
       4261;Rosenheim                               ;   47.875339;   12.127976;          442;Bayern                                  ;
       4271;Rostock-Warnemünde                      ;   54.180279;   12.080806;            4;Mecklenburg-Vorpommern                  ;
       4275;Rotenburg (Wümme)                       ;   53.128845;    9.339751;           32;Niedersachsen                           ;
       4287;Rothenburg ob der Tauber                ;   49.384842;   10.173229;          415;Bayern                                  ;
       4300;Rottweil                                ;   48.181464;    8.635552;          589;Baden-Württemberg                       ;
       4301;Kreuznach, Bad                          ;   49.850173;    7.871018;          102;Rheinland-Pfalz                         ;
       4323;Ruppertsecken                           ;   49.646838;    7.883741;          461;Rheinland-Pfalz                         ;
       4336;Saarbrücken-Ensheim                     ;   49.212803;    7.107712;          320;Saarland                                ;
       4349;Sachsenheim                             ;    48.95688;    9.071052;          251;Baden-Württemberg                       ;
       4354;Saldenburg-Entschenreuth                ;   48.783156;   13.314592;        456.5;Bayern                                  ;
       4371;Salzuflen, Bad                          ;   52.104207;    8.752053;        134.6;Nordrhein-Westfalen                     ;
       4377;Sandberg                                ;   50.351779;   10.003374;        517.5;Bayern                                  ;
       4393;Sankt Peter-Ording                      ;   54.327907;    8.603056;          4.9;Schleswig-Holstein                      ;
       4411;Schaafheim-Schlierbach                  ;   49.919503;    8.967056;          155;Hessen                                  ;
       4445;Wernigerode-Schierke                    ;   51.765838;    10.65328;          609;Sachsen-Anhalt                          ;
       4464;Schleiz                                 ;   50.567906;   11.804085;        501.4;Thüringen                               ;
       4466;Schleswig                               ;   54.527539;    9.548666;         42.7;Schleswig-Holstein                      ;
       4480;Schlüchtern-Herolz                      ;   50.344656;     9.55333;          230;Hessen                                  ;
       4501;Schmücke                                ;   50.654518;   10.769601;        937.6;Thüringen                               ;
       4508;Schneifelforsthaus                      ;   50.296848;    6.419387;          649;Rheinland-Pfalz                         ;
       4559;Schorndorf-Knöbling                     ;    49.16435;   12.617494;          398;Bayern                                  ;
       4560;Schotten                                ;   50.492508;    9.122558;          265;Hessen                                  ;
       4592;Schwandorf                              ;   49.327835;   12.087053;          356;Bayern                                  ;
       4605;Schwarzburg                             ;    50.64406;   11.193618;          277;Thüringen                               ;
       4625;Schwerin                                ;   53.642425;   11.387095;           59;Mecklenburg-Vorpommern                  ;
       4642;Seehausen                               ;   52.891088;   11.729659;           21;Sachsen-Anhalt                          ;
       4651;Seesen                                  ;   51.903973;   10.188523;          186;Niedersachsen                           ;
       4692;Siegen (Kläranlage)                     ;   50.853381;    7.996614;          229;Nordrhein-Westfalen                     ;
       4703;Sigmaringen-Laiz                        ;   48.071864;    9.194326;        580.5;Baden-Württemberg                       ;
       4704;Sigmarszell-Zeisertsweiler              ;   47.577598;    9.740446;          508;Bayern                                  ;
       4706;Simbach/Inn                             ;   48.271797;   13.027276;        357.5;Bayern                                  ;
       4709;Simmern-Wahlbach                        ;    49.99959;     7.59812;          445;Rheinland-Pfalz                         ;
       4745;Soltau                                  ;   52.960408;    9.793049;         75.4;Niedersachsen                           ;
       4763;Sontra                                  ;   51.060686;    9.926618;          265;Hessen                                  ;
       4857;Mittelnkirchen-Hohenfelde               ;   53.553446;    9.609701;            1;Niedersachsen                           ;
       4887;Stötten                                 ;   48.665587;    9.864791;        733.8;Baden-Württemberg                       ;
       4896;Wagersrott                              ;   54.665383;    9.805022;           40;Schleswig-Holstein                      ;
       4911;Straubing                               ;   48.827504;   12.559695;        350.5;Bayern                                  ;
       4928;Stuttgart (Schnarrenberg)               ;   48.828085;    9.200028;        314.3;Baden-Württemberg                       ;
       4931;Stuttgart-Echterdingen                  ;   48.688265;    9.223548;          371;Baden-Württemberg                       ;
       4978;Tann/Rhön                               ;   50.639028;   10.022846;          395;Hessen                                  ;
       4997;Starkenberg-Tegkwitz                    ;   50.977086;   12.341909;          196;Thüringen                               ;
       5009;Teterow                                 ;   53.761054;   12.557389;           33;Mecklenburg-Vorpommern                  ;
       5014;Worpswede-Hüttenbusch                   ;   53.275827;    8.985687;            7;Niedersachsen                           ;
       5017;Teuschnitz                              ;   50.400246;    11.38883;          633;Bayern                                  ;
       5029;Tholey                                  ;   49.473727;    7.038521;        385.9;Saarland                                ;
